,coord_ra,coord_dec,ObjectId,visit,band,psfDiffFlux,psfDiffFluxErr,psfFlux,psfFluxErr,expMidptMJD,pixelFlags_bad,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,nGoodSources
0,7.065957378161749,-71.76994955370006,579586045385905214,2024120600046,r,-7952.8,317.423,37343.9,288.536,60651.07204322335,False,False,False,False,False,7
1,7.065957378161749,-71.76994955370006,579586045385905214,2024112400111,r,2654.89,312.499,48653.0,292.623,60639.05358846072,False,False,False,False,False,7
2,7.065957378161749,-71.76994955370006,579586045385905214,2024112400121,i,2131.76,443.112,48027.7,378.293,60639.06015714116,False,False,False,False,False,7
3,7.065957378161749,-71.76994955370006,579586045385905214,2024112400101,r,2069.1,305.731,48490.2,279.383,60639.04730240169,False,False,False,False,False,7
4,7.065957378161749,-71.76994955370006,579586045385905214,2024112400109,r,1391.03,301.02,47884.0,278.706,60639.05233633107,False,False,False,False,False,7
5,7.065957378161749,-71.76994955370006,579586045385905214,2024112400106,r,2037.56,307.419,48685.2,289.004,60639.05037939822,False,False,False,False,False,7
6,7.065957378161749,-71.76994955370006,579586045385905214,2024112500077,r,9270.61,334.952,55288.1,316.72,60640.03908166089,False,False,False,False,False,7
0,7.733634456949557,-71.79136427021317,579585907946947740,2024112400109,r,264.454,344.226,41649.6,284.728,60639.05233633107,False,False,False,False,False,1
0,7.088769736875909,-71.67544149369485,579586045385908471,2024112500077,r,51318.8,343.249,51889.2,326.453,60640.03908166089,False,False,False,False,False,2
1,7.088769736875909,-71.67544149369485,579586045385908471,2024112400121,i,187.537,555.587,82945.8,427.613,60639.06015714116,False,False,False,False,False,2
0,37.103330407981595,6.261382269938817,648363727518697498,2024112300241,i,-1193.19,867.303,280616.0,652.959,60638.141743848406,False,False,False,False,False,2
1,37.103330407981595,6.261382269938817,648363727518697498,2024112300226,r,4572.0,689.423,254342.0,543.284,60638.128979467525,False,False,False,False,False,2
0,7.998614282075562,-72.09696213667252,579584533557417093,2024120600057,i,-107.259,543.958,64376.9,400.198,60651.07769924759,False,False,False,False,False,2
1,7.998614282075562,-72.09696213667252,579584533557417093,2024113000108,r,50858.3,342.194,50438.7,318.292,60645.05924976858,False,False,False,False,False,2
0,7.727270008546054,-72.33620471859466,579583159167879550,2024112500077,r,2454.03,355.076,51608.3,299.771,60640.03908166089,False,False,False,False,False,1
0,38.51683807342784,7.673003439936398,650026120380426008,2024120700150,z,3207.36,1652.62,1030580.0,1477.03,60652.081671504566,False,False,False,False,False,9
1,38.51683807342784,7.673003439936398,650026120380426008,2024120700154,z,-3447.2,1571.77,1024060.0,1414.14,60652.083270208386,False,False,False,False,False,9
2,38.51683807342784,7.673003439936398,650026120380426008,2024120700178,r,26079.6,1008.58,832480.0,919.953,60652.09366068871,False,False,False,False,False,9
3,38.51683807342784,7.673003439936398,650026120380426008,2024120700174,g,38763.3,884.384,576880.0,764.791,60652.09174949648,False,False,False,False,False,9
4,38.51683807342784,7.673003439936398,650026120380426008,2024120700182,r,22944.9,1049.62,828246.0,912.38,60652.095274571744,False,False,False,False,False,9
5,38.51683807342784,7.673003439936398,650026120380426008,2024120700166,z,-25955.3,1559.55,1018620.0,1425.18,60652.08806424758,False,False,False,False,False,9
6,38.51683807342784,7.673003439936398,650026120380426008,2024120700170,g,15094.9,936.723,602633.0,826.489,60652.0901473032,False,False,False,False,False,9
7,38.51683807342784,7.673003439936398,650026120380426008,2024112300247,i,4676.3,1584.29,1271230.0,1234.27,60638.1454117941,False,False,False,False,False,9
