,DR3_source_id,ra,dec,diaObjectId,nDiaSources,g_psfFluxMean,u_psfFluxMean,r_psfFluxMean,i_psfFluxMean,z_psfFluxMean,y_psfFluxMean,g_psfFluxSigma,u_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,z_psfFluxSigma,y_psfFluxSigma,g_scienceFluxMean,u_scienceFluxMean,r_scienceFluxMean,i_scienceFluxMean,z_scienceFluxMean,y_scienceFluxMean,g_scienceFluxMeanErr,u_scienceFluxMeanErr,r_scienceFluxMeanErr,i_scienceFluxMeanErr,z_scienceFluxMeanErr,y_scienceFluxMeanErr,g_psfFluxChi2,u_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,z_psfFluxChi2,y_psfFluxChi2,g_psfFluxPercentile25,g_psfFluxPercentile75,u_psfFluxPercentile25,u_psfFluxPercentile75,r_psfFluxPercentile25,r_psfFluxPercentile75,i_psfFluxPercentile25,i_psfFluxPercentile75,z_psfFluxPercentile25,z_psfFluxPercentile75,y_psfFluxPercentile25,y_psfFluxPercentile75,g_psfFluxStetsonJ,u_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,z_psfFluxStetsonJ,y_psfFluxStetsonJ,DR3_DESIGNATION,DR3_pf,DR3_pf_error,DR3_p1_o,DR3_p1_o_error,DR3_ra,DR3_dec,DR3_ra_error,DR3_dec_error,DR3_best_classification,DR3_field_loc_center,DR3_phot_g_mean_flux,DR3_phot_g_mean_flux_error,DR3_phot_g_mean_mag,DR3_phot_bp_mean_flux,DR3_phot_bp_mean_flux_error,DR3_phot_bp_mean_mag,DR3_phot_rp_mean_flux,DR3_phot_rp_mean_flux_error,DR3_phot_rp_mean_mag,DR3_bp_rp,DR3_bp_g,DR3_g_rp,DR3_int_average_g,DR3_int_average_g_error,DR3_int_average_bp,DR3_int_average_bp_error,DR3_int_average_rp,DR3_int_average_rp_error,DR3_peak_to_peak_g,DR3_peak_to_peak_g_error,DR3_peak_to_peak_bp,DR3_peak_to_peak_bp_error,DR3_peak_to_peak_rp,DR3_peak_to_peak_rp_error,nSources,nGoodSources,query,nu,ng,nr,ni,nz,ny,nGoodu,nGoodg,nGoodr,nGoodi,nGoodz,nGoody,ObjectId
0,4831519899384690944,58.835036580265594,-48.79121325837336,592913981740417050,207,21831.12890625,-16868.734375,-5911.0986328125,31229.3359375,-100747.2890625,-6314.08837890625,112893.13839008525,30020.4175129482,70134.14750855752,43127.776854929405,50532.1341167919,41020.09305677712,202603.15625,104073.609375,234591.953125,283050.25,296662.90625,306489.375,70.67559051513672,233.5082244873047,60.161224365234375,101.34986114501953,157.5543212890625,387.26727294921875,1349680.0,14723.3,883580.0,159008.0,86912.8,9340.79,-20906.5419921875,100746.96484375,-42474.8974609375,14876.16455078125,-47488.65234375,29905.3671875,4786.383544921875,95599.947265625,-132770.66796875,-111139.85546875,-57708.623046875,22278.494140625,116.20099552495104,31.9374864458166,86.80830338362972,55.280969602730984,35.941476252425204,20.084382217400805,Gaia DR3 4831519899384690944,0.5653873334215693,2.029854658758268e-05,,,58.83505312046909,-48.79121478894054,0.06307987,0.072044425,RRab,EDFS,1312.6035075073942,9.275036,17.892033,766.263756407517,19.34351,18.127596,811.3065423894063,24.168108,17.474934,0.6526623,0.23556328,0.417099,17.774383544921875,0.0394913293421268,18.04085159301757,0.0145694157108664,17.43698501586914,0.0305096674710512,0.6224541068077087,0.1478520482778549,0.4677761495113373,0.0497326031327247,0.366291880607605,0.0995819047093391,243,235,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 592913981740417050",17,54,76,38,39,19,14,54,73,37,38,19,592913981740430064
1,2912290471563097088,95.12419298100014,-25.04328320321867,614436990573609020,190,10664.96875,28294.880859375,-103542.7890625,115696.3203125,-14298.8515625,-9986.2255859375,236679.1727885291,49083.73233960339,217021.1490149717,169139.89798836838,52707.211627097364,16305.1605112466,1420722.0,521807.15625,1302856.25,1436724.0,1265737.75,1129090.875,167.48460388183594,294.6780700683594,155.7332000732422,305.9186096191406,244.4270782470703,1252.7969970703125,1741140.0,22461.9,3062160.0,266199.0,39233.0,120.096,-197396.375,213514.30859375,-9196.5673828125,90663.8359375,-134595.1875,129584.15625,-10429.658081054688,312298.625,-56410.916015625,25936.693359375,-19093.30908203125,-7355.6640625,162.5618428064582,27.242519852571377,148.70514707013928,109.82470570143393,29.154289309800223,4.029026711602715,Gaia DR3 2912290471563097088,,,0.2356684245436294,3.583821523989173e-07,95.12418710445353,-25.043290233527085,0.017630639,0.024097156,RRc,SV 95 -25,8608.811810188228,48.1504,15.850009,5538.055212092965,113.06041,15.980149,4648.298512334602,68.5465,15.57966,0.40048885,0.1301403,0.27034855,15.818747520446776,0.0014317982131615,15.946955680847168,0.0075924773700535,15.567405700683594,0.0097897471860051,0.3780651986598968,0.0053636855445802,0.5210710763931274,0.0295442920178174,0.240862563252449,0.0437054336071014,267,249,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 614436990573609020",30,77,75,21,55,9,30,72,66,21,52,8,614436990573616692
2,2912338089863209728,94.9972425115007,-24.689513251744284,614438433682620451,151,284696.1875,-6718.5908203125,188277.78125,,-9772.1220703125,11672.7470703125,620882.4866432094,30027.17496926438,561544.600481207,,224906.66351867002,19095.214634022224,1891114.375,704769.25,1895601.75,,2936012.75,2282380.0,237.72381591796875,417.27886962890625,194.52313232421875,,377.00482177734375,1248.5396728515625,4948110.0,4681.0,11793100.0,,348207.0,231.827,-50334.0810546875,1090264.3125,-41745.99609375,15005.86376953125,184752.765625,1016535.90625,,,62091.576171875,86256.0546875,2969.435546875,25892.31982421875,310.6304815778646,13.469734756701422,326.81458033168934,,40.50320253741586,3.9856339197908506,Gaia DR3 2912338089863209728,0.5867567342994755,2.9252853437355952e-06,,,94.99723622745904,-24.68949671338192,0.014302863,0.020137202,RRab,SV 95 -25,12276.556446647895,102.81158,15.464676,7087.60149042159,229.57547,15.712294,7597.732532734933,150.46384,15.0461855,0.66610813,0.24761772,0.4184904,15.397680282592772,0.0036921871360391,15.615106582641602,0.0069886222481727,15.00976848602295,0.0046887835487723,0.8133752942085266,0.0253719054162502,0.9950724840164183,0.0297948345541954,0.6201282739639282,0.0197971910238266,206,172,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 614438433682620451",20,53,69,14,42,8,20,44,53,5,42,8,614438433682628764
3,2912361076526273664,94.79082619664781,-24.681148299700318,614431011979133047,74,1567.132080078125,4655.70263671875,1291.3681640625,183.62652587890625,,,7373.94728541338,572.1315664112298,6639.214867944553,5384.5102853782855,,,24262.951171875,13193.3017578125,30299.978515625,30681.443359375,,,37.3936882019043,209.17974853515625,40.92375946044922,103.58094024658203,,,29878.9,5.338,22967.7,1953.07,,,-3103.2874145507812,8133.4342041015625,4262.224609375,4907.0498046875,-3603.636962890625,10099.4794921875,-5497.17431640625,3776.3980712890625,,,,,28.055957022982856,0.05619723258581901,24.45716097676011,13.449593601164128,,,Gaia DR3 2912361076526273664,0.6369391224588116,1.4330371413961984e-05,,,94.79082501094057,-24.681143365402587,0.24408576,0.37746438,RRab,SV 95 -25,152.71371877657023,1.4677896,20.227673,92.47385344215628,7.4604416,20.423494,89.23014699078378,5.725108,19.871616,0.551878,0.19582176,0.3560562,20.205049514770508,0.0085297869518399,20.05142593383789,0.1425697058439254,19.675701141357425,0.0515640079975128,0.5833491086959839,0.0379280969500541,0.5130739808082581,0.2585234344005584,0.4436140954494476,0.1404911577701568,133,131,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 614431011979133047",16,32,39,8,33,5,16,32,39,8,32,4,614431011979142887
4,4689569958943536768,6.189965643869846,-72.40925725084783,579575943622820639,46,722.380126953125,,-1499.5447998046875,-2425.275390625,,,2587.537772036702,,5724.9834574430215,5689.725805867898,,,62489.3203125,,60060.7578125,62209.2578125,,,140.6065216064453,,58.19744873046875,110.65975189208984,,,252.836,,8539.89,2157.86,,,-1953.967529296875,2569.84912109375,,,-3527.853515625,4107.0137939453125,-9292.353515625,2369.274169921875,,,,,5.754541081982252,,14.830120427051593,11.927216738072145,,,Gaia DR3 4689569958943536768,,,0.3730728946325936,5.48614207218634e-06,6.18993863448801,-72.40925539512907,0.21936987,0.18339689,RRc,47 Tuc,327.9414849728065,2.438133,19.397877,195.2546497711482,8.106121,19.61204,188.26833803474204,7.620048,19.060953,0.5510864,0.21416283,0.3369236,19.37835502624512,0.0087566906586289,19.567501068115234,0.0357961282134056,19.00811195373535,0.0395568646490573,0.384341150522232,0.0370208919048309,0.4595223367214203,0.1031189262866973,0.6731106638908386,0.1858445405960083,55,54,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579575943622820639",0,8,28,14,0,5,0,7,28,14,0,5,0
5,4689601230610534272,5.349848016652141,-72.25939727863296,579576699537065382,46,-5282.64794921875,,-988.374755859375,-5455.07373046875,,,11897.320745021118,,11623.714363832543,8894.923699226985,,,47543.3515625,,44962.7578125,52543.59765625,,,99.77534484863281,,62.76030349731445,89.96897888183594,,,11863.8,,21845.7,9081.7,,,-17433.20703125,4730.43310546875,,,-7629.804443359375,16174.72705078125,-14734.061767578125,4631.0567626953125,,,,,35.62147499544378,,23.54639734150937,19.742462298809563,,,Gaia DR3 4689601230610534272,0.6256349029530239,4.102054845134262e-06,,,5.349837529191755,-72.25939509500044,0.2705588,0.22508216,RRab,47 Tuc,266.6991349030148,2.6570709,19.622313,141.1846289760084,8.763252,19.964073,156.9910307192987,7.297109,19.25821,0.70586395,0.34176064,0.36410332,19.639673233032227,0.0091849630698561,19.94468307495117,0.0797163099050521,19.191415786743164,0.0546153150498867,0.6338157057762146,0.0331995412707328,0.9693535566329956,0.1519619971513748,0.4429416358470917,0.1326588839292526,56,55,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579576699537065382",0,9,25,18,0,4,0,9,24,18,0,4,0
6,4689619952363268352,5.855335275096806,-72.32661742125758,579575943622820362,45,-203.0035858154297,,-713.2908325195312,2.4405572414398193,,,2201.733185588853,,3649.4537146299353,3338.3107136950375,,,17804.0078125,,10196.2138671875,2234.584228515625,,,87.50079345703125,,27.589317321777344,18.59131622314453,,,153.528,,4598.17,1221.28,,,-1018.544677734375,1623.2466735839844,,,-4720.353515625,2616.46826171875,-4072.8551635742188,2682.0599365234375,,,,,5.925153731938773,,15.373873042112937,8.293193583227765,,,Gaia DR3 4689619952363268352,0.511254519692564,1.0735664545791224e-05,,,5.855347838406381,-72.32663640313883,0.3060773,0.30716148,RRab,47 Tuc,232.72921477408417,2.254593,19.770239,139.34792560444453,8.52307,19.97829,139.99221710526078,6.065603,19.382635,0.59565544,0.20805168,0.38760376,19.77935028076172,0.0148183153942227,19.947725296020508,0.0523177720606327,19.33540725708008,0.0461448468267917,0.4400534927845001,0.0416915379464626,0.6706874370574951,0.1198163330554962,0.3745298981666565,0.2718936204910278,56,53,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579575943622820362",0,8,26,17,0,5,0,7,26,16,0,4,0
7,4689557731181059712,6.531025733335078,-72.41098196693488,579575874903343585,43,1884.615478515625,,-1872.7042236328125,-1940.932861328125,,,17228.44461872595,,10182.52623080852,7189.145684835862,,,52721.0,,59504.96875,55119.921875,,,108.44294738769531,,63.153812408447266,118.05049896240234,,,19402.7,,21548.7,3130.32,,,-10727.413818359375,21092.8916015625,,,-12716.74267578125,3989.9517211914062,-6552.0830078125,1852.00732421875,,,,,48.34970352382358,,25.344946759617372,11.968274957164073,,,Gaia DR3 4689557731181059712,0.6123489200322606,4.020579581265338e-06,,,6.531028548631118,-72.41098153947829,0.20580502,0.17671598,RRab,47 Tuc,324.7926528273615,2.7671263,19.408352,194.9102666037413,9.524596,19.613955,187.80948295338268,5.999811,19.063602,0.5503521,0.20560265,0.34474945,19.49362564086914,0.015868691727519,19.667423248291016,0.0433019883930683,19.09129905700684,0.0439063757658004,0.6407015919685364,0.0918030068278312,0.7886144518852234,0.1284199506044387,0.3734998404979706,0.1315378695726394,50,48,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579575874903343585",0,8,25,12,0,5,0,8,24,11,0,5,0
8,4689835147403404928,5.683626371776007,-71.86177879906326,579578073926598690,42,-3209.48046875,,2028.506103515625,1948.3082275390625,,,868.3984024987607,,5735.848353504084,5721.819078355641,,,37263.79296875,,50204.4765625,50132.171875,,,158.76670837402344,,58.927860260009766,102.95709991455078,,,15.825,,8003.69,2156.18,,,-3705.1446533203125,-2914.7276611328125,,,-3984.872314453125,4731.794921875,-3482.8477172851562,6039.9495849609375,,,,,1.25350724503941,,12.171062946858331,11.912205610022399,,,Gaia DR3 4689835147403404928,0.5317905238844247,1.8587646991363727e-05,,,5.683613226237836,-71.86177903338609,0.25164908,0.2524246,RRab,47 Tuc,265.6254469766375,2.7883434,19.626692,145.49115887964155,7.0638227,19.93145,142.5669027477533,6.350903,19.362848,0.5686016,0.30475807,0.26384354,19.59157371520996,0.0313806347548961,19.83828926086425,0.0263638142496347,19.2994384765625,0.0328123830258846,0.7005216479301453,0.0737372487783432,0.7941926121711731,0.0651342868804931,0.3248932063579559,0.1551929414272308,51,50,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579578073926598690",0,6,26,15,0,4,0,6,26,15,0,3,0
9,4689614111207898752,5.2392919513744225,-72.20123078424257,579576699537065428,40,-6651.66796875,,-20628.712890625,-4769.8046875,,,15075.114800893594,,17029.130709134446,14307.235592484816,,,62510.06640625,,50471.08203125,67332.828125,,,107.6189956665039,,65.41871643066406,110.00592041015625,,,16333.0,,34483.3,14866.7,,,-20767.0546875,6880.28076171875,,,-35384.9853515625,-8904.939208984375,-20341.091796875,8005.12353515625,,,,,41.97571597040731,,40.44830108804274,30.638295972837327,,,Gaia DR3 4689614111207898752,0.69476658280722,9.72355337580666e-06,,,5.2392679664657615,-72.20121977126729,0.19275564,0.18366887,RRab,47 Tuc,324.69996829269195,3.2219071,19.40866,204.84745999280048,11.541078,19.559965,196.5999176362866,7.127683,19.013937,0.54602814,0.15130424,0.3947239,19.34636306762696,0.0085774362087249,19.404842376708984,0.0968591943383216,18.96352195739746,0.0531427077949047,0.8271254897117615,0.0462189391255378,0.8563170433044434,0.3059014976024627,0.3593078851699829,0.2033190727233886,50,49,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.diaObjectId, fsodo.visit, fsodo.band, 
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr, 
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr, 
            vis.expMidptMJD, 
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSourceOnDiaObject as fsodo
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.diaObjectId = 579576699537065428",0,10,20,16,0,4,0,9,20,16,0,4,0
