,ObjectId,ra,dec,diaObjectId,nDiaSources,g_psfFluxMean,u_psfFluxMean,r_psfFluxMean,i_psfFluxMean,z_psfFluxMean,y_psfFluxMean,g_psfFluxSigma,u_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,z_psfFluxSigma,y_psfFluxSigma,g_scienceFluxMean,u_scienceFluxMean,r_scienceFluxMean,i_scienceFluxMean,z_scienceFluxMean,y_scienceFluxMean,g_scienceFluxMeanErr,u_scienceFluxMeanErr,r_scienceFluxMeanErr,i_scienceFluxMeanErr,z_scienceFluxMeanErr,y_scienceFluxMeanErr,g_psfFluxChi2,u_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,z_psfFluxChi2,y_psfFluxChi2,g_psfFluxPercentile25,g_psfFluxPercentile75,u_psfFluxPercentile25,u_psfFluxPercentile75,r_psfFluxPercentile25,r_psfFluxPercentile75,i_psfFluxPercentile25,i_psfFluxPercentile75,z_psfFluxPercentile25,z_psfFluxPercentile75,y_psfFluxPercentile25,y_psfFluxPercentile75,g_psfFluxStetsonJ,u_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,z_psfFluxStetsonJ,y_psfFluxStetsonJ,index,g_psfMag,g_psfMagErr,r_psfMag,r_psfMagErr,u_psfMag,u_psfMagErr,g_psfFlux,g_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,g_extendedness,u_extendedness,r_extendedness,g_pixelFlags_inexact_psfCenter,u_pixelFlags_inexact_psfCenter,r_pixelFlags_inexact_psfCenter,g-r,u-g,g-r_err,u-g_err,color_flags,r_psfFluxIQR,r_psfFluxIQRFrac,shape_flags,point_size,simbad_results,nGoodSources,nSources,query,nu,ng,nr,ni,nz,ny,nGoodu,nGoodg,nGoodr,nGoodi,nGoodz,nGoody,mag_var,mag_var_flag,mean_r_mag,mean_g_mag,mean_u_mag,filt_mean_r_mag,filt_mean_g_mag,filt_mean_u_mag,filt_g-r,filt_u-g,in_Obj,DR3_field_loc_center
0,614435753623041404,94.92263546663175,-25.231851448191698,614435753623027782,186.0,-21039.12109375,3432.15869140625,-11608.3544921875,-6390.08544921875,-3882.079833984375,,22381.719304454888,16907.77552087772,11558.706970415918,8608.215295310338,8506.3369140625,,109667.8359375,48311.42578125,114239.296875,96476.6171875,104091.2421875,,43.35859680175781,308.08648681640625,43.95809555053711,101.82218933105469,108.05899047851562,,220810.0,1672.95,66132.0,6106.46,5177.79,,-35294.921875,-8578.8349609375,-3374.834228515625,26755.2890625,-19595.2900390625,-6018.055419921875,-16535.71044921875,238.580810546875,-6985.60009765625,-5495.48974609375,,,44.61053799254417,14.12004783498663,24.675740213671308,19.944297455838015,4.470708184564633,,263527,18.7509,0.000382478,18.7214,0.000373318,19.7113,0.00296596,114717.0,40.4121,117884.0,40.5329,47365.3,129.39,0.0,0.0,0.0,True,True,True,0.029500961,0.9603996,0.000755796,0.003348438,in_passed,13577.234619140625,0.03885591976003622,in_passed,60,['*'],204,219,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614435753623041404",20,64,68,17,42,8,18,59,63,17,39,8,0.5803718566894531,True,18.82257,18.935562,19.672554,18.741566,18.791471,19.665394,0.049905777,0.87392235,True,SV 95 -25
2,614436372098331933,95.0147459467079,-25.09221458999604,614436372098318338,145.0,12009.634765625,-7444.40234375,-108148.6640625,-405088.5625,-8929.44140625,21045.96875,10475.32818784148,3521.6924614191835,243158.70060355862,430542.5302305747,13499.732888911656,8327.798718331109,1325224.75,614457.5625,1516702.5,776147.375,2271164.5,2212020.0,175.92767333984375,508.9067077636719,205.1967010498047,284.28741455078125,338.3763427734375,1324.626220703125,3225.24,38.7659,2981140.0,1367000.0,1560.99,31.2019,4733.6611328125,17863.603515625,-10414.30859375,-6532.23388671875,92852.05859375,112428.5078125,-110916.34375,138864.9453125,-14299.456298828125,-2435.6163330078125,17541.638671875,28451.654296875,6.808094761412838,1.1390803098109932,101.25263093555606,264.623735632528,4.028853168025802,1.394963675627854,294391,15.9681,0.000101151,15.7148,0.00010308,16.9388,0.000519274,1488520.0,138.675,1879680.0,178.456,608809.0,291.174,0.0,0.0,,True,True,True,0.2532997,0.9707012,0.00020423101,0.000620425,in_passed,19576.44921875,0.13000377074336875,in_passed,60,N/A,220,256,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614436372098331933",28,72,74,20,54,8,25,67,54,12,54,8,0.15488243103027344,True,16.121523,16.135632,17.156792,15.634749,15.966447,16.941477,0.33169746,0.97502995,True,SV 95 -25
3,614436372098326733,94.97770177652345,-25.19706522824071,614436372098318441,132.0,8134.09033203125,1319.0880126953125,-158278.140625,-409426.4375,-9055.4140625,-1777.046142578125,8222.063172184466,6310.886018243247,319809.5550394713,514703.4783786089,12478.158441687887,17116.943519535896,1451791.875,549047.375,1717298.5,1451935.0,2730912.0,2365508.0,250.7957763671875,749.4506225585938,181.6884307861328,421.6024475097656,388.2462463378906,1570.926025390625,1079.97,49.6151,5181020.0,1059270.0,1009.79,100.285,2009.9960327148438,11785.41015625,-3471.4595947265625,4705.9652099609375,100304.875,132002.4609375,-601885.21875,102107.33984375,-19640.2861328125,-2596.5989990234375,-18243.37109375,12670.94921875,5.141818302771756,2.9161874097463096,127.75912692132893,257.7702233812073,4.119350967547042,4.146689244546794,259213,15.8832,0.000100213,15.5512,9.57768e-05,17.0552,0.000546501,1609630.0,148.567,2185290.0,192.772,546932.0,275.296,0.0,0.0,,True,False,True,0.33199978,1.1720009,0.00019598979,0.000646714,in_passed,31697.5859375,,in_passed,60,N/A,213,259,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614436372098326733",27,71,79,17,55,10,27,61,55,7,53,10,0.11282920837402344,True,15.883143,16.120327,17.063875,15.469208,15.882807,17.063875,0.413599,1.1810684,True,SV 95 -25
12,614437677768392917,95.2933686801153,-24.72112328796661,614437677768376364,104.0,10243.2734375,-9854.08203125,8518.6748046875,9512.267578125,-1325.437744140625,-10437.4375,5123.6956915613655,,7727.735058383455,7473.13445655982,5121.034242616692,,614449.75,233838.03125,800284.5625,864320.875,729340.875,458258.25,137.5642852783203,1048.9110107421875,137.33755493164062,328.8011169433594,263.7694396972656,1854.998779296875,1297.87,0.0,2744.06,436.281,352.278,0.0,8148.9947509765625,12479.251708984375,-9854.08203125,-9854.08203125,3591.788818359375,12132.695556640625,4686.818603515625,11851.5615234375,-4713.4915771484375,1001.0930786132812,-10437.4375,-10437.4375,4.416885570582713,,6.197668447619741,4.744147828729419,2.7526637338392472,,93368,16.8726,0.000208514,16.615,0.000166094,17.8607,0.00141454,647090.0,124.272,820330.0,125.493,260458.0,339.336,0.0,0.0,0.0,False,True,True,0.25760078,0.98810005,0.000374608,0.001623054,in_dia,8540.90673828125,0.02109239698000487,in_dia,15,N/A,128,134,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614437677768392917",10,35,47,11,27,4,8,34,45,11,26,4,0.1268024444580078,True,16.616083,16.873133,17.88217,16.616083,16.873133,17.88217,0.25704956,1.009037,True,SV 95 -25
14,614430393503851554,94.70918368554914,-24.849343435681885,614430393503842317,102.0,39264.35546875,14403.0537109375,,,-112969.9765625,91838.3828125,191753.86440996284,6730.919373115917,,,298121.0012739759,71261.96007661121,2031553.875,775823.75,,,3408546.75,4001743.0,202.26568603515625,426.1304016113281,,,476.3420104980469,2125.2548828125,1686390.0,214.59,,,847053.0,759.295,145568.953125,177099.89453125,9899.908203125,16185.280029296875,,,,,9102.2666015625,32291.419921875,57052.3203125,114874.2890625,57.77735554516645,2.1972367437888543,,,38.85374398057874,10.424685868630327,130046,15.5215,9.94115e-05,15.243,0.000154371,16.6881,0.000475908,2245980.0,205.645,2902800.0,412.724,766921.0,336.163,,0.0,,True,True,True,0.2784996,1.1666012,0.0002537825,0.0005753195,in_dia,,,in_dia,15,N/A,125,198,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614430393503851554",26,65,47,14,40,6,22,46,16,3,33,5,0.13178348541259766,True,16.355722,15.840253,17.245962,15.040062,15.457717,16.68307,0.417655,1.2253523,True,SV 95 -25
15,614436234659379978,95.37776119647569,-25.112398006272148,614436234659364872,101.0,-52546.23046875,14804.8525390625,-753350.0625,-618736.5625,-3025.386474609375,13596.8779296875,126602.83704261287,4417.015661166994,444712.69656571635,583221.3623108282,12011.174601177194,15337.720679806196,1291092.5,659571.875,767851.75,949965.0,2589295.25,1906259.75,174.54530334472656,520.7275390625,204.1583709716797,293.1391906738281,546.8717651367188,1592.1142578125,1236720.0,66.3605,1686240.0,1460780.0,432.778,46.7421,15746.949462890625,27335.77685546875,11876.245361328125,18363.466552734375,-936975.1875,-120708.421875,-977727.5625,80047.4375,-12058.0048828125,4388.728515625,9694.873046875,19532.421875,44.65076191091003,1.6287638421767068,282.95972864981945,327.686210487765,3.9363317844853962,2.122804305867548,348724,15.8323,0.000113734,15.5767,0.000122445,16.8121,0.000728914,1686890.0,176.707,2134550.0,240.725,684168.0,459.319,0.0,0.0,,True,False,True,0.25559998,0.9797993,0.000236179,0.000842648,in_passed,816266.765625,1.6125527927334382,in_passed,60,N/A,135,168,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614436234659379978",14,50,54,13,31,6,14,48,31,7,29,6,0.10531044006347656,True,16.042685,15.878862,16.832266,15.486337,15.826289,16.832266,0.33995247,1.0059767,True,SV 95 -25
16,614436990573623742,95.20102780542197,-24.916260385192338,614436990573608968,101.0,-102310.71875,-851.00537109375,,,-221726.015625,15994.734375,259362.94343964005,8793.758587690698,,,456062.3491170265,32229.18518431185,1970980.5,721661.6875,,,3566754.75,4209797.0,201.56861877441406,944.2930297851562,,,422.1988525390625,1620.701416015625,4062530.0,56.7853,,,2742240.0,352.545,93048.763671875,115602.216796875,-4241.123748779297,4550.5615234375,,,,,112113.94921875,158093.3515625,5791.697265625,38845.23828125,85.42083206296361,3.994157925208883,,,87.68018066190209,4.76422830041711,300044,15.525,9.82368e-05,15.2022,0.000140577,16.7035,0.000450972,2238800.0,202.565,3013970.0,390.237,756157.0,314.078,,0.0,,True,False,True,0.32279968,1.1785011,0.00023881381,0.0005492088,in_dia,,,in_dia,15,N/A,135,249,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614436990573623742",26,67,76,19,51,10,25,44,18,4,37,7,0.13280677795410156,True,16.464693,15.906276,16.710512,15.016092,15.443848,16.710512,0.42775536,1.2666645,True,SV 95 -25
17,612929972448799236,94.96966810027766,-25.314781013863367,612929972448788650,100.0,769.7076416015625,-2077.353515625,-1231.403076171875,-2072.9921875,1138.0882568359375,,2259.5709741021187,4665.738354318615,2570.235198156199,7699.5922137606785,7014.248813991327,,298764.3125,109251.3046875,367743.0625,368002.96875,377411.4375,,79.18672943115234,251.731689453125,108.396728515625,194.3960418701172,457.0806579589844,,864.547,284.446,537.785,1180.27,159.893,,-15.556427001953125,2808.1648559570312,-5298.43896484375,3824.77490234375,-2694.8990478515625,665.5021667480469,-9011.892578125,1378.7775268554688,-1946.631103515625,4889.0728759765625,,,3.2233482903747057,3.571817569853672,2.98737771055663,7.892496868641943,5.552141893897014,,199236,17.6556,0.000229304,17.444,0.000224294,18.7485,0.00148386,314604.0,66.4434,382311.0,78.9789,114971.0,157.13,0.0,0.0,0.0,True,False,False,0.21159935,1.0929012,0.00045359798,0.0017131639,in_dia,3360.4012145996094,0.020486133002452347,in_dia,15,N/A,180,190,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 612929972448799236",22,60,55,14,32,7,22,54,52,14,31,7,0.1374073028564453,True,17.447159,17.658148,18.752478,17.445549,17.658731,18.752478,0.21318245,1.0937462,True,SV 95 -25
20,614436921854143901,95.35653914357994,-24.989570593633722,614436921854132236,86.0,-91063.9453125,12439.4287109375,,,-95718.453125,-7993.9541015625,198382.79741069823,10464.838424891328,,,296400.65074702236,18658.29524046052,1753235.375,701634.375,,,3214920.0,1357846.25,209.12255859375,583.73193359375,,,454.23291015625,1040.643310546875,2738280.0,328.303,,,1010210.0,150.025,81636.0,97505.0546875,10693.53125,21029.21484375,,,,,42573.759765625,68126.57421875,-14739.349853515625,16392.61328125,71.93043674499407,4.185720249776123,,,40.63842077264459,4.343365922937995,313229,15.615,0.000106615,15.3385,0.000148262,16.7333,0.000731701,2060640.0,202.346,2658280.0,363.0,735683.0,495.792,,0.0,,True,True,True,0.27649975,1.1182995,0.000254877,0.000838316,in_dia,,,in_dia,15,N/A,89,143,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614436921854143901",8,42,47,11,29,6,8,33,14,1,27,6,0.10324668884277344,True,16.303911,15.76216,16.729856,15.174168,15.572282,16.729856,0.3981142,1.1575747,True,SV 95 -25
26,614437677768393040,95.27132637682064,-24.719993163758772,614437677768376338,65.0,-19011.46484375,-430.2261962890625,,,-238799.875,20221.623046875,202754.32623112877,11605.091225729175,,,533937.4740332206,35530.638891803574,1989386.625,729344.8125,,,3229969.75,4060002.75,276.4249267578125,627.474853515625,,,485.0770568847656,2112.7998046875,1402600.0,269.524,,,1854000.0,204.192,97527.42578125,120999.0546875,-10362.75244140625,7375.79150390625,,,,,127154.740234375,172071.359375,2350.9541015625,41348.58203125,56.43498191708065,5.085685690241506,,,110.38358185951913,5.6490675665939225,93414,15.5919,0.000134765,15.2777,0.000170826,16.7483,0.000623795,2104880.0,261.265,2811320.0,442.324,725600.0,416.883,,0.0,,True,False,True,0.31419945,1.1564007,0.00030559098,0.00075855997,in_dia,,,in_dia,15,N/A,86,145,"SELECT fsodo.coord_ra, fsodo.coord_dec,
            fsodo.ObjectId, fsodo.visit, fsodo.band,
            fsodo.psfDiffFlux, fsodo.psfDiffFluxErr,
            fsodo.psfFlux as psfFlux, fsodo.psfFluxErr,
            vis.expMidptMJD,
            pixelFlags_bad, pixelFlags_saturated, pixelFlags_saturatedCenter,
            pixelFlags_suspect, pixelFlags_suspectCenter
            FROM dp1.ForcedSource as fsodo 
            JOIN dp1.Visit as vis ON vis.visit = fsodo.visit
            WHERE fsodo.objectId = 614437677768393040",15,36,50,10,29,5,14,28,14,1,24,5,0.11230278015136719,True,16.26588,15.796415,17.179028,15.088841,15.52056,16.756634,0.43171883,1.2360735,True,SV 95 -25
